AW1,AW2,AW3
44.306,33.872,27.812
35.48,69.333,62.87
33.696,63.782,71.893
30.705,57.526,55.486
47.199,51.191,50.828
28.969,57.751,59.713
39.707,35.147,36.755
33.509,72.246,73.53
40.698,38.805,29.616
45.297,39.197,37.795
34.049,37.344,36.324
41.884,33.853,33.637
36.559,44.846,55.29
33.853,47.425,44.032
39.285,36.177,39.011
36.314,37.03,26.145
31.725,44.179,38.03
33.833,32.99,27.047
32.793,44.061,38.991
35.873,35.088,42.571
42.571,57.761,51.965
39.384,43.63,43.071
35.157,43.836,38.266
32.715,32.499,33.519
43.032,68.45,64.459
27.596,35.951,28.998
29.292,32.215,34.333
30.273,47.023,45.444
28.341,33.127,34.255
34.823,29.783,25.811
42.737,53.78,55.751
32.538,32.254,29.881
33.843,49.396,45.964
43.796,54.564,51.573
35.5,33.107,29.93
27.782,28.341,30.293
38.619,58.948,63.488
32.774,39.334,39.011
32.705,35.157,34.147
34.039,32.96,32.921
49.288,65.175,59.87
33.352,37.216,32.744
41.453,64.998,65.773
36.187,38.874,33.882
30.165,48.818,43.159
40.698,61.772,61.694
38.511,39.197,38.883
42.708,37.128,39.158
37.687,32.637,34.333
39.903,37.893,37.226
30.803,45.16,38.53
39.933,56.31,48.229
45.787,47.464,19.545
37.187,35.686,35.392
35.588,39.54,36.647
26.998,36.196,42.012
38.815,51.563,69.529
43.081,57.957,61.556
34.49,43.434,41.472
36.912,63.351,63.253
47.758,53.485,48.121
29.459,36.922,35.5
47.905,35.422,34.157
38.236,36.579,35.216
30.93,46.464,57.134
36.647,38.305,37.579
24.997,57.791,60.164
51.181,78.816,81.719
28.184,45.797,34.647
41.61,56.741,57.428
45.081,76.158,78.218
38.011,31.558,39.707
46.121,85.857,99.184
41.894,68.548,64.4
40.796,36.971,32.931
42.1,107.785,107.765
38.167,38.697,41.727
48.141,74.589,82.778
32.303,60.321,54.976
43.375,36.951,43.228
49.916,80.307,79.522
40.384,82.278,75.335
45.366,39.766,37.04
40.335,36.598,36.275
31.832,36.196,44.787
44.63,89.692,98.792
33.627,39.992,35.5
46.346,66.499,55.77
36.569,33.98,35.51
40.982,72.157,68.176
49.661,54.437,47.258
52.358,88.015,80.748
32.97,36.54,37.579
33.902,71.52,66.744
59.693,135.42,81.238
49.269,71.098,65.518
36.294,37.167,30.95
45.954,48.327,50.514
50.181,46.601,38.275
40.256,35.157,33.627
27.596,49.955,47.847
39.609,55.241,54.721
28.39,36.922,38.57
39.354,36.667,35.176
42.012,84.524,91.29
35.216,92.369,82.327
50.132,79.326,81.238
46.895,82.19,81.67
45.003,74.864,58.909
51.406,76.757,71.02
31.891,43.532,34.931
36.746,58.987,54.682
43.64,48.259,39.913
41.463,52.475,56.32
48.141,59.801,61.733
36.147,49.798,47.739
44.532,69.382,76.57
46.631,56.79,59.487
33.088,40.766,35.902
40.511,73.03,64.704
38.256,52.005,55.025
38.011,37.03,32.176
30.244,34.608,35.304
40.394,49.759,49.426
37.942,42.247,38.217
41.364,51.446,49.151
44.689,55.604,60.409
33.735,55.359,20.672
33.156,51.554,58.575
46.219,69.549,66.342
32.205,35.784,34.294
47.798,57.908,59.997
57.428,119.886,127.192
34.578,35.529,37.138
40.923,29.087,25.37
59.213,51.024,50.514
26.498,36.863,40.688
27.164,31.146,31.087
49.367,64.42,71.314
35.235,35.559,32.087
36.775,45.895,39.325
37.648,32.127,34.794
52.544,41.472,44.365
42.414,36.461,31.881
35.216,40.354,33.196
45.277,50.092,39.089
31.587,39.717,42.188
30.293,30.44,33.627
32.538,60.742,62.282
26.753,32.323,39.884
25.203,59.693,58.261
41.698,40.266,47.768
35.981,34.363,34.539
30.558,48.494,45.111
30.714,45.238,39.903
47.033,47.445,25.929
42.58,36.716,31.675
47.18,34.598,27.704
29.959,35.647,37.618
18.593,32.029,29.812
44.777,39.423,46.385
40.855,39.285,36.059
52.622,80.65,78.071
46.091,37.02,35.294
44.591,40.403,42.992
42.306,40.354,38.854
29.096,26.223,27.978
37.756,41.002,25.527
44.552,57.094,59.536
40.874,41.639,35.529
38.913,38.521,43.61
42.463,54.486,47.739
43.924,38.069,36.559
25.782,26.723,28.969
41.59,35.265,32.362
40.286,36.442,32.46
35.529,37.834,40.109
41.129,42.757,23.134
31.528,32.921,34.108
42.718,39.089,39.129
42.58,27.821,43.051
24.134,40.354,35.392
36.726,28.282,31.058
26.409,53.917,18.417
29.008,37.304,30.146
43.993,45.719,47.768
32.852,38.422,41.904
42.649,48.974,41.904
31.411,40.609,50.749
36.206,43.846,31.852
36.138,34.863,34.451
40.492,43.826,29.253
36.314,52.417,35.49
42.335,40.305,37.638
38.491,51.151,48.219
33.902,42.934,37.393
29.341,48.533,64.302
31.215,47.317,38.148
46.278,39.384,37.461
38.53,89.662,85.867
36.461,44.934,49.631
33.068,56.123,57.565
36.138,36.755,33.911
28.939,35.265,32.597
40.923,35.598,34.353
42.512,39.923,26.027
48.072,58.379,53.083
31.646,35.431,32.597
48.415,55.133,51.308
44.022,58.34,54.584
25.87,66.038,68.215
42.433,39.893,35.353
39.403,36.294,34.745
37.55,37.707,35.245
37.913,45.67,30.185
36.932,35.422,34.363
30.028,39.393,39.276
41.796,36.147,38.53
43.12,63.233,70.069
25.752,47.955,25.811
35.049,39.168,36.853
34.755,29.322,31.352
49.455,55.702,56.016
28.155,31.381,25.674
40.286,35.392,32.176
34.421,27.213,33.333
35.01,60.625,66.921
26.154,37.677,40.325
32.019,27.812,28.322
47.66,52.358,58.909
39.589,40.364,36.873
46.268,50.014,53.515
36.0,32.597,34.902
27.969,35.422,33.431
30.734,34.578,33.774
36.343,37.883,34.794
39.452,47.886,46.042
30.489,30.881,30.538
31.872,37.53,37.971
37.51,56.398,53.937
35.461,55.408,52.103
38.56,42.796,42.139
29.538,38.236,41.306
41.688,41.776,37.314
42.59,51.367,56.692
39.805,43.238,51.897
38.089,61.184,59.87
31.126,40.296,40.717
29.096,39.491,35.176
30.734,38.128,41.364
43.816,40.443,40.894
26.331,70.069,65.048
38.913,43.492,37.363
40.825,56.202,55.045
63.4,65.999,69.98
42.1,64.861,68.803
36.353,67.323,70.216
24.997,36.981,31.273
35.726,58.997,61.468
49.475,64.861,80.12
43.149,69.274,74.334
33.068,35.608,33.215
44.002,47.435,46.993
45.366,55.79,48.916
32.401,56.398,56.427
33.392,32.921,21.575
39.737,49.563,59.595
32.46,38.53,41.315
35.892,51.612,51.495
36.324,44.277,40.904
39.629,76.472,80.022
36.628,33.009,29.538
39.001,92.692,78.237
34.068,43.64,43.865
40.119,38.923,34.539
56.192,77.414,71.196
44.081,93.045,88.75
55.898,92.114,92.428
33.598,78.934,77.149
43.796,66.842,66.744
38.011,58.722,60.821
41.463,56.476,59.105
40.58,72.687,63.125
41.747,54.496,54.339
35.157,69.304,76.874
32.401,64.734,53.74
31.371,58.006,56.653
50.563,73.844,75.031
42.865,59.693,68.45
65.42,88.554,83.003
51.338,61.605,60.674
45.052,68.627,77.198
43.169,64.037,64.704
35.804,58.095,53.142
36.706,79.012,84.416
38.756,69.304,65.979
42.178,57.045,58.487
51.74,70.637,70.578
43.767,42.178,36.814
43.11,78.649,82.856
45.081,31.558,33.519
52.848,70.784,77.384
34.47,84.425,64.185
39.962,57.565,62.272
22.222,31.244,21.957
25.487,56.506,56.653
53.976,95.438,97.968
50.357,43.424,49.082
32.646,70.824,67.98
55.182,101.479,108.158
41.149,67.617,64.587
41.59,55.741,53.24
39.246,67.646,78.512
40.384,35.02,39.521
31.999,61.046,69.137
40.796,69.559,76.051
34.686,59.389,57.31
48.572,75.246,76.011
36.746,35.098,37.785
40.09,66.185,62.821
45.846,69.98,72.04
40.639,76.57,80.611
49.249,91.731,88.319
41.943,85.524,85.161
40.099,43.394,46.081
40.698,74.099,57.565
41.512,77.512,74.619
47.15,71.363,67.578
54.172,65.322,61.213
49.249,74.158,69.686
46.778,77.384,74.952
56.8,81.699,69.304
40.256,30.92,29.773
83.445,76.541,72.412
47.19,65.489,67.646
39.168,67.95,64.175
43.953,63.537,63.469
50.455,91.604,84.739
28.4,55.398,55.594
40.345,39.168,40.953
44.758,84.357,88.593
36.187,91.261,77.59
43.953,65.224,61.89
45.591,135.999,115.336
33.46,83.18,76.698
37.167,81.866,86.161
47.003,46.542,62.929
44.963,71.844,71.343
44.856,89.074,81.65
35.628,25.85,35.735
36.716,64.292,67.891
40.011,60.703,61.841
51.603,56.359,48.916
39.903,77.669,67.97
37.03,71.275,75.766
18.741,67.136,69.676
35.5,57.31,56.761
34.559,108.481,102.911
23.693,63.92,68.215
48.386,81.65,75.227
41.757,78.973,80.434
44.395,42.08,37.55
36.549,43.022,41.757
36.334,42.159,41.149
37.344,50.141,57.075
46.091,47.866,47.405
38.354,42.659,55.918
39.707,52.868,49.465
35.853,63.861,60.85
41.717,60.036,64.547
32.872,22.957,25.654
43.316,50.338,52.838
41.257,47.984,45.768
39.08,43.983,46.67
66.391,60.782,39.786
36.971,31.862,21.496
45.424,63.243,63.93
28.724,61.752,56.418
43.375,53.054,49.935
47.523,97.88,98.616
40.276,52.691,53.956
39.197,39.864,33.578
33.833,30.518,33.313
46.385,56.467,60.458
43.041,46.65,46.856
36.275,70.422,74.923
37.628,40.835,38.04
42.531,66.577,71.608
36.755,37.216,29.969
39.668,71.932,75.501
23.359,51.622,43.336
33.45,40.345,40.462
38.893,35.628,27.566
21.241,28.596,22.134
63.135,113.865,113.031
49.582,34.353,34.166
34.49,34.559,32.019
40.246,51.289,52.789
39.727,51.377,52.309
39.55,24.664,23.909
45.111,42.835,41.717
54.044,46.866,35.794
42.414,43.944,41.463
45.758,75.688,76.629
44.287,58.389,54.692
